SalidaEsperada      SalidaProducida
106300.00000        120167.74620
175700.00000        223365.44178
348700.00000        389732.22676
54600.00000        124450.02139
400000.00000        319206.83455
113500.00000        174001.46211
141900.00000        194507.11781
146000.00000        190600.84996
147800.00000        207975.14364
268200.00000        297088.35224
500001.00000        269469.59754
228100.00000        183333.52738
214400.00000        220490.07387
72700.00000        129478.59641
275000.00000        228186.97490
101600.00000        145358.71967
187500.00000        191956.94083
183300.00000        247518.31744
348900.00000        289268.19828
183600.00000        228588.93337
47100.00000        81261.23032
252300.00000        252265.46855
147900.00000        231509.68975
101900.00000        132024.54442
217100.00000        285489.96885
68500.00000        167963.48799
327300.00000        300949.99373
409100.00000        292121.41888
146200.00000        142869.98777
215800.00000        276945.57036
160800.00000        146621.05398
130600.00000        188536.91392
252200.00000        222124.06567
189600.00000        259945.74018
233100.00000        264437.61070
175000.00000        159036.69665
181800.00000        231825.48342
52300.00000        80952.94854
67200.00000        118981.55397
84700.00000        50023.91468
500001.00000        366249.59119
134400.00000        -339383.94274
117800.00000        174499.82595
112500.00000        127311.60512
163300.00000        193991.87727
90100.00000        114718.49179
75300.00000        74773.83432
103500.00000        165657.90700
106300.00000        127084.73718
60300.00000        55615.10846
48000.00000        63120.10144
500000.00000        228690.94458
281900.00000        303279.60076
361900.00000        344221.82269
150700.00000        158094.37343
263800.00000        263562.54353
288000.00000        320432.19216
53000.00000        46929.06456
169000.00000        194434.52891
400000.00000        272944.72701
500001.00000        361726.83178
500001.00000        442457.91551
86600.00000        126995.58683
139600.00000        169786.34021
150300.00000        217876.71893
150900.00000        171676.43151
500001.00000        246977.65556
269700.00000        266515.83163
82500.00000        6448.04078
197900.00000        266932.71608
220500.00000        248456.55789
150000.00000        208503.74103
243800.00000        262855.11417
196200.00000        254537.54788
276600.00000        315275.70835
131000.00000        212228.72035
222100.00000        275266.55988
152100.00000        215727.20671
63800.00000        104376.01115
93100.00000        142488.27958
148100.00000        205499.76329
500001.00000        366048.17963
258000.00000        256275.74613
109700.00000        172598.33814
295200.00000        250754.85337
129700.00000        163998.35906
336900.00000        292836.66010
379500.00000        341086.64044
67700.00000        35538.59291
122100.00000        114605.24633
123200.00000        160834.65031
402900.00000        309197.34419
153200.00000        179221.35025
181900.00000        116082.19770
97900.00000        161150.56992
101200.00000        93277.24644
60400.00000        53324.91882
290600.00000        234781.46140
353600.00000        278835.56462
137500.00000        167722.80407
124200.00000        220935.65958
118800.00000        150555.50809
220900.00000        275999.83479
73400.00000        118394.54424
92900.00000        185477.90440
238000.00000        262652.41552
314900.00000        285636.22951
221200.00000        244297.89895
484600.00000        334432.91932
181600.00000        203529.63736
260300.00000        207853.21352
55100.00000        78100.05807
65800.00000        142890.77379
172600.00000        225173.97614
130000.00000        178442.85467
461200.00000        314952.26536
191800.00000        219577.57370
151400.00000        202501.25467
316600.00000        276749.81252
198100.00000        275058.71977
157700.00000        192165.54860
232500.00000        229763.24772
190300.00000        165989.15792
155000.00000        165554.32303
58800.00000        107594.09250
94600.00000        75445.59697
84100.00000        86600.01989
57000.00000        95264.62685
183100.00000        273209.65599
193800.00000        183168.83415
426900.00000        321090.51724
108700.00000        54278.92306
500001.00000        400021.21540
228000.00000        210510.92119
81000.00000        94605.99916
202300.00000        336712.99895
297200.00000        303129.87425
268800.00000        145873.92995
184500.00000        207821.95426
205000.00000        212620.54574
182500.00000        247838.97878
200400.00000        233673.70213
162500.00000        225817.91225
495500.00000        288229.73661
118800.00000        146639.67582
229000.00000        163533.39117
84200.00000        149163.93392
500001.00000        368861.85325
121600.00000        208885.04797
139700.00000        202172.72022
185500.00000        206903.69460
319400.00000        304989.98664
233100.00000        178694.37711
236200.00000        234985.21733
257200.00000        267686.67306
148300.00000        240032.79281
302700.00000        270279.64528
122400.00000        152860.20876
197900.00000        170591.41434
138700.00000        171040.58653
160700.00000        234992.73408
145000.00000        207831.21043
129000.00000        135210.61175
