SalidaEsperada      SalidaProducida
106300.00000        118955.13290
175700.00000        231816.04393
348700.00000        391234.90100
54600.00000        125039.76039
400000.00000        313456.34133
113500.00000        181541.67582
141900.00000        201493.94615
146000.00000        197222.81760
147800.00000        210439.84649
268200.00000        300241.70008
500001.00000        252971.06399
228100.00000        178458.58140
214400.00000        223736.74088
72700.00000        135277.10627
275000.00000        227395.18095
101600.00000        150069.03489
187500.00000        182142.43151
183300.00000        247055.90175
348900.00000        347029.50860
183600.00000        227802.17081
47100.00000        85031.71927
252300.00000        247383.70473
147900.00000        231806.93091
101900.00000        140125.40827
217100.00000        284097.03723
68500.00000        170455.44311
327300.00000        305412.66844
409100.00000        288042.79349
146200.00000        144784.08030
215800.00000        274687.67724
160800.00000        152214.35377
130600.00000        191487.14852
252200.00000        222206.24384
189600.00000        260992.42294
233100.00000        265105.76346
175000.00000        157782.17957
181800.00000        233166.10707
52300.00000        84650.87246
67200.00000        123653.28527
84700.00000        54480.68281
500001.00000        352991.61578
134400.00000        -64515.90999
117800.00000        178436.05211
112500.00000        127249.46074
163300.00000        201399.64741
90100.00000        117160.16932
75300.00000        81464.53459
103500.00000        166900.34090
106300.00000        143862.49245
60300.00000        58547.76746
48000.00000        68574.48723
500000.00000        218060.52762
281900.00000        307933.68583
361900.00000        346843.04246
150700.00000        155110.74596
263800.00000        259566.09600
288000.00000        319652.87284
53000.00000        53247.14187
169000.00000        198902.42976
400000.00000        267934.32084
500001.00000        350759.86916
500001.00000        440408.76797
86600.00000        128593.44741
139600.00000        171361.60492
150300.00000        216691.45443
150900.00000        174925.81817
500001.00000        240870.53835
269700.00000        267593.33693
82500.00000        14665.04156
197900.00000        266364.68897
220500.00000        254733.62082
150000.00000        191860.26176
243800.00000        248982.88770
196200.00000        253727.88736
276600.00000        313653.94442
131000.00000        196035.37126
222100.00000        277935.37754
152100.00000        221940.85885
63800.00000        107169.92787
93100.00000        148225.96964
148100.00000        208601.80286
500001.00000        365404.74225
258000.00000        263636.71895
109700.00000        177709.99412
