SalidaEsperada      SalidaProducida
106300.00000        122325.80633
175700.00000        221378.38818
348700.00000        391232.61364
54600.00000        125069.43107
400000.00000        318541.53222
113500.00000        171537.25856
141900.00000        193741.49540
146000.00000        190298.15525
147800.00000        208339.60951
268200.00000        300333.44491
500001.00000        269032.17490
228100.00000        183199.31796
214400.00000        219403.04702
72700.00000        129024.18738
275000.00000        228814.87257
101600.00000        144949.24995
187500.00000        191681.61770
183300.00000        248790.81050
348900.00000        298408.13699
183600.00000        230003.35942
47100.00000        83331.57078
252300.00000        253437.76522
147900.00000        234628.07109
101900.00000        131979.42867
217100.00000        286757.67232
68500.00000        168692.80833
327300.00000        302696.81572
409100.00000        292111.89405
146200.00000        142803.86557
215800.00000        277068.34067
160800.00000        142839.44960
130600.00000        185915.50247
252200.00000        221636.31639
189600.00000        258849.74236
233100.00000        265118.77738
175000.00000        159331.43927
181800.00000        231356.67385
52300.00000        80598.27940
67200.00000        120170.62195
84700.00000        49055.95538
500001.00000        368121.68125
134400.00000        -384247.51526
117800.00000        174840.99655
112500.00000        128540.38564
163300.00000        192543.58031
90100.00000        116330.38882
75300.00000        72795.22706
103500.00000        166602.36992
106300.00000        124856.18407
60300.00000        55014.29060
48000.00000        64142.85912
500000.00000        227276.79865
281900.00000        304575.69338
361900.00000        344112.16169
150700.00000        157469.43244
263800.00000        262977.16698
288000.00000        320013.85381
53000.00000        46351.62323
169000.00000        194092.07642
400000.00000        271367.26950
500001.00000        361792.64673
500001.00000        441335.05313
86600.00000        125375.93186
139600.00000        169255.76183
150300.00000        218367.59941
150900.00000        170254.87622
500001.00000        246986.25183
269700.00000        266203.14780
82500.00000        2154.25561
197900.00000        268015.22104
220500.00000        246458.68703
150000.00000        205670.86851
243800.00000        264729.31142
196200.00000        255633.50348
276600.00000        310358.53240
131000.00000        214984.97214
222100.00000        274703.85947
152100.00000        211959.33191
63800.00000        107510.56359
93100.00000        140628.22231
148100.00000        208257.63778
500001.00000        366952.10969
258000.00000        254468.97150
109700.00000        172463.01011
295200.00000        251976.26684
129700.00000        163942.83764
336900.00000        292376.99331
379500.00000        340391.07363
67700.00000        30976.44165
122100.00000        125177.62919
123200.00000        162385.97557
402900.00000        309991.08592
153200.00000        177703.53919
181900.00000        113691.67053
97900.00000        159725.76657
101200.00000        89571.13477
60400.00000        53626.91927
290600.00000        233956.35565
353600.00000        280217.27812
137500.00000        168948.68291
124200.00000        222807.80996
118800.00000        151875.02808
220900.00000        273669.69825
73400.00000        120320.95222
92900.00000        185528.67495
238000.00000        260796.66758
314900.00000        285366.41161
221200.00000        244938.35378
484600.00000        335898.91384
181600.00000        203132.93061
260300.00000        206168.60890
55100.00000        77836.82973
65800.00000        143556.78802
172600.00000        223208.43453
130000.00000        176197.61982
461200.00000        313399.12552
191800.00000        223522.64400
151400.00000        202768.92412
316600.00000        279739.98575
198100.00000        275974.85801
157700.00000        185315.88815
232500.00000        232431.19187
190300.00000        167149.05871
155000.00000        164618.08439
58800.00000        107513.19955
94600.00000        71957.56227
84100.00000        84907.47734
57000.00000        94069.16557
183100.00000        272422.75081
193800.00000        184353.02222
426900.00000        319642.08813
108700.00000        53822.89743
500001.00000        399403.69890
228000.00000        213789.47553
81000.00000        91305.45686
202300.00000        345058.53508
297200.00000        302400.16321
268800.00000        145021.84695
184500.00000        207025.60672
205000.00000        213712.34056
182500.00000        246831.54009
200400.00000        233288.35048
162500.00000        227485.50321
495500.00000        288594.60286
118800.00000        148448.53315
229000.00000        159973.55038
84200.00000        148285.46256
500001.00000        373135.31592
121600.00000        209607.29718
139700.00000        203702.93637
185500.00000        204817.67087
319400.00000        307065.37285
233100.00000        179547.14759
236200.00000        236589.93537
257200.00000        279511.39345
148300.00000        239545.68413
302700.00000        269306.70776
122400.00000        153389.42755
197900.00000        171575.15161
138700.00000        169977.55400
160700.00000        234674.51612
145000.00000        207824.03282
129000.00000        129397.92595
218500.00000        258828.17182
