SalidaEsperada      SalidaProducida
106300.00000        112077.48626
175700.00000        208050.06353
348700.00000        362467.00285
54600.00000        108555.23263
400000.00000        294230.47943
113500.00000        151966.13913
141900.00000        171316.17345
146000.00000        165342.92511
147800.00000        184642.38260
268200.00000        282095.00119
500001.00000        263887.14714
228100.00000        173617.12208
214400.00000        205507.32623
72700.00000        113538.21000
275000.00000        198592.31798
101600.00000        124348.11778
187500.00000        185771.71371
183300.00000        223650.97050
348900.00000        264969.36316
183600.00000        212692.95514
47100.00000        61103.36193
252300.00000        234944.24756
147900.00000        219531.41231
101900.00000        110812.36742
217100.00000        258445.71290
68500.00000        151403.63269
327300.00000        283089.14379
409100.00000        272005.50474
146200.00000        127457.64455
215800.00000        260988.33045
160800.00000        118219.33120
130600.00000        169774.37200
252200.00000        207924.29653
189600.00000        241918.96226
233100.00000        242975.77950
175000.00000        146871.35664
181800.00000        219462.43181
52300.00000        65909.23596
67200.00000        100723.41877
84700.00000        36748.86641
500001.00000        343754.86496
134400.00000        -724967.07775
117800.00000        147759.59937
112500.00000        109848.62968
163300.00000        171348.34359
90100.00000        96035.18450
75300.00000        50036.55097
103500.00000        150914.07158
106300.00000        102078.02325
60300.00000        34625.68939
48000.00000        46808.36309
500000.00000        222552.03255
281900.00000        290286.41204
361900.00000        330444.87388
150700.00000        138534.83795
263800.00000        246320.94137
288000.00000        301782.58853
53000.00000        28809.89679
169000.00000        170795.40687
400000.00000        259016.32078
500001.00000        349088.90915
500001.00000        419641.95324
86600.00000        108415.86052
139600.00000        156971.57283
150300.00000        199587.15924
150900.00000        148430.46568
500001.00000        233029.63960
269700.00000        248538.01461
82500.00000        -10657.27342
197900.00000        240080.71475
220500.00000        229614.90280
150000.00000        197838.61847
243800.00000        260175.99328
196200.00000        232871.20103
276600.00000        291138.26470
131000.00000        210395.34740
222100.00000        258198.99294
152100.00000        184049.23542
63800.00000        87283.81570
93100.00000        126238.61919
148100.00000        192795.40953
500001.00000        338537.80926
258000.00000        235154.85184
109700.00000        151468.64018
295200.00000        233373.83085
129700.00000        149789.49597
336900.00000        275974.43853
379500.00000        324836.22829
67700.00000        13054.13872
122100.00000        92779.49483
123200.00000        139443.10956
402900.00000        288792.07727
153200.00000        162011.38189
181900.00000        96561.27181
97900.00000        130653.47368
101200.00000        71307.89112
60400.00000        37736.44506
290600.00000        224638.10890
353600.00000        252893.87410
137500.00000        148523.72725
124200.00000        200977.95103
118800.00000        134797.49302
220900.00000        260190.06526
