SalidaEsperada      SalidaProducida
106300.00000        120051.78563
175700.00000        230832.83052
348700.00000        390766.80034
54600.00000        123561.53813
400000.00000        313556.67167
113500.00000        179230.34787
141900.00000        200894.88611
146000.00000        199349.51476
147800.00000        212700.87208
268200.00000        306038.06311
500001.00000        248404.46810
228100.00000        177743.44870
214400.00000        221595.47444
72700.00000        133911.88560
275000.00000        230033.38292
101600.00000        147591.40884
187500.00000        182551.98507
183300.00000        247953.95755
348900.00000        351854.99138
183600.00000        229683.50035
47100.00000        87129.47479
252300.00000        245669.93988
147900.00000        233280.50782
101900.00000        136273.63517
217100.00000        285046.86750
68500.00000        169874.65647
327300.00000        307468.32260
409100.00000        291086.02256
146200.00000        140974.53060
215800.00000        274424.79812
160800.00000        152293.26688
130600.00000        190232.81192
252200.00000        220885.56491
189600.00000        259720.41372
233100.00000        268792.49645
175000.00000        159504.08127
181800.00000        233973.55025
52300.00000        86100.88305
67200.00000        121530.28746
84700.00000        50879.92393
500001.00000        352915.17898
134400.00000        -27698.82229
117800.00000        180211.65830
112500.00000        124023.42058
163300.00000        201110.29001
90100.00000        120928.24904
75300.00000        74606.32188
103500.00000        166020.95653
106300.00000        141614.72700
60300.00000        53513.16132
48000.00000        69391.53539
500000.00000        216254.51816
281900.00000        308382.24169
361900.00000        348922.78497
150700.00000        156240.53558
263800.00000        259507.50643
288000.00000        319789.47309
53000.00000        53288.33839
169000.00000        199983.36085
400000.00000        265829.72072
500001.00000        349554.43293
500001.00000        436992.19849
86600.00000        121830.42634
139600.00000        168006.61930
150300.00000        216792.03431
150900.00000        175319.62537
500001.00000        237882.79599
269700.00000        269200.20012
82500.00000        2006.85406
197900.00000        267798.93968
220500.00000        253846.78064
150000.00000        192424.68583
243800.00000        251331.59346
196200.00000        256680.13549
276600.00000        304477.53678
131000.00000        197554.23827
222100.00000        279018.44251
152100.00000        222381.57674
63800.00000        108040.16231
93100.00000        145677.76360
148100.00000        208956.74018
500001.00000        366386.71670
258000.00000        262281.63547
109700.00000        175797.74148
295200.00000        248771.59282
129700.00000        167825.76592
336900.00000        297487.10616
379500.00000        340971.09783
67700.00000        51596.18890
122100.00000        163972.90887
123200.00000        165073.53084
402900.00000        309575.84203
153200.00000        173339.17172
181900.00000        118598.09588
97900.00000        169884.21183
101200.00000        93115.25194
60400.00000        58975.93155
290600.00000        228830.44926
353600.00000        281382.29996
137500.00000        171424.32207
124200.00000        223097.93963
118800.00000        139652.25583
220900.00000        273765.55104
73400.00000        123409.58400
92900.00000        187174.38473
238000.00000        269528.97666
314900.00000        283145.76148
221200.00000        246764.70212
484600.00000        340404.64430
181600.00000        199963.73407
260300.00000        220495.70770
55100.00000        84185.22524
65800.00000        144423.93115
172600.00000        241658.46034
130000.00000        189733.75891
461200.00000        308513.04883
191800.00000        222097.31045
151400.00000        207574.98871
316600.00000        285137.29306
198100.00000        280145.15056
157700.00000        211124.90259
232500.00000        229620.28013
190300.00000        167633.16194
155000.00000        170699.84877
58800.00000        107238.53524
94600.00000        73577.73910
84100.00000        86496.07960
57000.00000        97412.13811
183100.00000        270196.44886
193800.00000        182302.19594
426900.00000        314909.08339
108700.00000        49091.26142
500001.00000        396918.56206
228000.00000        219662.89495
81000.00000        95469.32233
202300.00000        329054.12457
297200.00000        303841.33509
268800.00000        145034.62025
184500.00000        199817.86961
205000.00000        208895.53083
182500.00000        248931.13749
200400.00000        228653.20277
162500.00000        226353.44307
495500.00000        286519.70879
118800.00000        137469.01632
229000.00000        159489.16105
84200.00000        154974.87364
500001.00000        358520.13415
121600.00000        209837.73630
139700.00000        209209.49155
185500.00000        209859.56046
319400.00000        304417.95062
233100.00000        177657.38486
236200.00000        231550.24089
257200.00000        276922.98149
148300.00000        248933.21392
302700.00000        282118.33807
122400.00000        163620.43189
197900.00000        168479.51370
138700.00000        169228.68213
160700.00000        239903.41633
145000.00000        207687.54203
129000.00000        133515.51127
218500.00000        290396.27287
74100.00000        139181.71827
77100.00000        125777.14641
173700.00000        246647.47911
191100.00000        154133.95615
111300.00000        93143.71536
270500.00000        296020.13935
320600.00000        226316.93650
85600.00000        -22298.31732
113700.00000        256172.38467
133900.00000        171520.04975
132800.00000        150278.90142
59700.00000        101946.07841
164100.00000        214140.64738
197300.00000        235963.43999
125800.00000        191428.81969
82300.00000        91121.02991
155000.00000        191277.13295
500001.00000        295393.25965
167000.00000        170842.58139
67500.00000        127813.83543
180600.00000        181236.67474
161700.00000        238033.87292
211300.00000        203716.33408
138100.00000        202340.99650
139300.00000        133942.36873
194100.00000        198098.16930
101300.00000        107275.49016
339100.00000        237102.23653
236400.00000        170431.79768
214600.00000        186765.51573
80600.00000        259127.76967
84000.00000        141012.75894
262500.00000        183306.77758
500001.00000        471650.83100
191700.00000        212923.88743
189500.00000        221370.73531
26900.00000        181367.00061
107200.00000        43413.12982
340000.00000        292210.61729
52500.00000        217374.52543
339400.00000        215420.69668
500001.00000        143882.03944
86900.00000        123973.63798
83200.00000        220193.19522
368900.00000        379832.29415
97000.00000        107690.76681
94200.00000        148029.56529
327800.00000        278768.32233
189300.00000        228437.35555
500001.00000        326686.39293
311300.00000        239801.02731
154500.00000        187034.84439
104800.00000        160149.02488
205100.00000        269616.21880
114100.00000        174111.47335
242900.00000        290401.42108
221500.00000        261867.61694
145800.00000        117447.93776
139400.00000        202861.07132
391200.00000        270691.68154
244100.00000        301813.12473
358600.00000        285608.55073
90200.00000        116017.93680
166600.00000        192106.92984
460400.00000        326808.09369
169300.00000        185182.95284
146200.00000        177055.67775
144100.00000        205662.54678
65700.00000        122299.71233
362500.00000        366949.66948
85900.00000        140114.65042
134300.00000        179956.30623
222300.00000        190767.87170
181100.00000        241733.94858
481300.00000        363337.01296
446600.00000        386371.48799
351800.00000        291063.31978
397000.00000        392696.61459
163000.00000        173985.83851
337500.00000        213571.21752
271700.00000        285821.61548
186100.00000        302349.09660
67500.00000        131867.83391
138700.00000        188212.44081
200000.00000        214830.85154
81800.00000        97555.82870
106600.00000        150266.17687
346700.00000        276988.54053
169400.00000        167897.92893
193900.00000        199472.53406
77700.00000        111853.50347
255500.00000        253580.40596
500001.00000        656399.97793
186200.00000        171206.10438
170800.00000        190655.06305
110700.00000        199198.24210
177200.00000        130452.67390
244400.00000        171813.13989
276000.00000        224647.45951
103800.00000        63690.66688
126600.00000        205210.05175
278400.00000        310601.45857
93800.00000        157721.07359
86400.00000        62672.71863
239900.00000        251017.19295
237900.00000        229982.04119
73000.00000        114807.20530
162500.00000        93216.00619
84600.00000        173409.14411
483300.00000        436187.10306
121400.00000        102298.25094
225800.00000        217269.31156
294900.00000        340058.59549
81300.00000        118141.17567
320000.00000        224284.91724
228500.00000        187395.67822
163000.00000        164836.30298
144500.00000        150658.08960
200600.00000        260429.75213
366200.00000        309012.66012
222700.00000        247797.02807
256700.00000        211481.37278
218800.00000        202507.18407
85600.00000        175063.27437
402900.00000        269991.70259
134300.00000        130830.06075
120300.00000        115255.00713
371900.00000        321984.00860
153100.00000        150357.96621
55100.00000        80048.67931
62800.00000        81480.68689
113800.00000        104268.87662
149000.00000        121340.29708
176200.00000        209386.84340
220500.00000        181529.38792
140600.00000        195605.01750
232700.00000        282692.24086
88200.00000        131852.71332
164400.00000        269632.59529
80700.00000        106673.96578
272000.00000        271641.47395
121000.00000        202371.24260
220900.00000        239334.41985
95600.00000        109152.96942
202300.00000        236219.91153
368500.00000        309035.25470
144300.00000        165717.94345
99200.00000        168998.40889
324600.00000        329588.70148
409700.00000        282028.92106
220800.00000        273256.26186
135200.00000        127104.10886
199800.00000        255313.78066
134200.00000        200465.11188
359600.00000        228199.22264
65600.00000        24134.00063
153700.00000        201573.50309
348100.00000        343876.71105
282100.00000        222948.36233
72100.00000        129555.99072
69900.00000        109033.78293
158600.00000        175047.93636
106900.00000        145775.94114
204600.00000        215875.37581
113700.00000        202081.96681
67500.00000        187494.22349
366100.00000        234597.88877
231000.00000        237501.92461
121900.00000        249320.77461
170400.00000        209672.44840
109700.00000        139977.02791
105200.00000        110651.39468
90500.00000        126521.73461
109000.00000        195503.77073
218200.00000        202757.92192
72100.00000        112891.49169
162000.00000        163897.28594
115800.00000        225465.90768
500001.00000        478598.76253
134500.00000        170609.77011
256800.00000        189014.85149
138200.00000        224768.25742
60000.00000        100984.49467
87500.00000        63963.00228
263200.00000        287370.12311
135500.00000        215535.62426
340000.00000        305143.18757
376900.00000        318554.51931
308500.00000        256144.95294
88600.00000        143841.66141
87500.00000        50241.88558
181300.00000        132382.47269
173200.00000        228999.89032
90500.00000        124283.33661
499100.00000        325753.41928
72500.00000        93352.22245
75000.00000        71652.45533
217200.00000        205475.22336
166700.00000        202832.39849
161300.00000        235772.95111
196700.00000        223503.27885
332100.00000        227689.10686
198000.00000        273435.60010
95100.00000        63749.93834
111700.00000        192964.90805
150500.00000        180879.28354
223900.00000        295390.75163
500001.00000        445515.21879
500001.00000        282718.06633
182700.00000        232263.05543
294700.00000        296567.43445
87000.00000        168532.27986
110200.00000        145256.12042
301700.00000        207585.20417
185700.00000        189451.87182
191100.00000        144361.12097
131300.00000        157031.56024
225400.00000        266504.75288
146400.00000        104427.27700
162100.00000        229031.66699
206500.00000        230436.69890
326700.00000        275091.80235
228600.00000        268966.07708
168800.00000        148859.74867
110400.00000        124195.12034
423200.00000        335181.48710
356100.00000        314878.76496
411300.00000        345437.25539
254800.00000        277970.15823
118600.00000        109150.33813
500000.00000        261655.42372
281700.00000        288936.61152
76200.00000        123232.29197
92600.00000        141638.83461
185300.00000        246092.58568
352700.00000        314452.15590
267100.00000        217791.79743
148900.00000        203027.30860
170200.00000        234520.93619
286800.00000        306771.36883
88700.00000        177445.50366
500001.00000        541043.04575
108300.00000        174427.33421
172600.00000        218225.47890
192200.00000        214509.57151
500001.00000        296905.61245
500001.00000        399913.80321
280200.00000        256159.86479
341400.00000        324387.16841
217700.00000        245647.30887
182800.00000        255120.81275
191400.00000        239682.62512
54100.00000        51119.76472
125000.00000        153635.35763
157100.00000        170702.78243
100000.00000        205361.17473
183900.00000        216923.70264
55900.00000        62872.60972
187500.00000        215405.75562
137500.00000        145268.86603
150600.00000        248746.41601
169900.00000        203779.97782
143700.00000        175943.34230
117600.00000        261059.71754
163700.00000        155558.39529
81900.00000        129465.35078
116700.00000        40339.67491
261100.00000        234281.88598
233300.00000        242819.65699
150300.00000        276330.27241
355600.00000        278466.59194
95600.00000        133891.78320
271600.00000        249524.84222
187500.00000        132152.73221
206300.00000        193422.10100
115600.00000        184924.04481
243100.00000        268953.00423
130700.00000        137115.99125
158000.00000        276286.23122
151800.00000        143844.36605
173800.00000        174973.44842
324900.00000        276551.22336
79200.00000        46395.69548
114800.00000        223989.14809
164500.00000        189420.06224
116700.00000        76360.27847
500001.00000        263031.04133
250000.00000        217919.28462
142800.00000        147443.24520
418400.00000        320926.43918
500001.00000        597958.47351
500001.00000        282722.47256
272200.00000        267375.82788
325000.00000        141011.63578
244600.00000        254318.92019
67500.00000        117904.00440
145200.00000        176255.58672
132400.00000        152278.24491
138500.00000        94751.09005
162500.00000        151750.95393
355800.00000        364604.58226
149800.00000        171733.16501
105800.00000        188773.42481
108000.00000        191058.47477
348200.00000        350647.57915
187200.00000        242538.78138
361700.00000        192297.44599
67500.00000        149763.85717
75000.00000        123341.93634
500001.00000        335904.32247
343800.00000        198874.20260
377200.00000        189222.12061
125000.00000        197405.17755
110700.00000        140637.46627
265200.00000        272271.01490
141100.00000        197663.34412
268100.00000        241281.74336
80400.00000        95326.36918
126200.00000        78340.44097
99600.00000        177732.24972
87500.00000        203800.89273
129300.00000        210133.01783
220600.00000        134858.36465
279900.00000        241425.70339
203700.00000        166095.08498
224100.00000        225321.95227
500001.00000        479472.60967
242300.00000        165383.82251
247700.00000        263269.93921
154300.00000        187140.18759
177300.00000        182538.55576
50700.00000        75707.34693
225000.00000        206659.81999
108900.00000        130301.95484
262500.00000        191829.19003
232400.00000        253864.88503
433300.00000        382266.48721
200000.00000        151464.35810
104000.00000        134271.41557
196700.00000        195261.87653
201600.00000        240720.54383
177400.00000        274544.16935
84400.00000        176888.87231
262400.00000        248828.02783
162500.00000        120866.73861
257200.00000        225118.96100
500001.00000        431875.97446
89400.00000        136941.05622
408300.00000        209078.06458
92600.00000        147782.92918
131100.00000        159887.29604
500001.00000        227059.19409
161400.00000        212826.50170
114600.00000        158001.19579
140200.00000        138814.63675
329100.00000        297197.67252
130200.00000        172966.69812
70800.00000        131650.00465
226400.00000        224496.54188
402300.00000        370009.53029
217100.00000        163798.42183
223000.00000        251308.70886
267800.00000        216943.87707
201700.00000        221454.56918
500001.00000        462046.15014
500001.00000        275292.29874
287500.00000        243389.39545
151800.00000        187380.26203
132000.00000        146064.62675
152800.00000        152221.65081
70100.00000        52480.86613
60400.00000        119925.85400
500001.00000        662764.18438
