SalidaEsperada      SalidaProducida
106300.00000        113010.86999
175700.00000        206442.58676
348700.00000        366293.31329
54600.00000        112678.39439
400000.00000        299440.30091
113500.00000        149913.86862
141900.00000        168235.63481
146000.00000        160772.81840
147800.00000        182117.14637
268200.00000        281573.43627
500001.00000        274841.06303
228100.00000        177770.06276
214400.00000        207297.09434
72700.00000        115322.02663
275000.00000        201530.70502
101600.00000        125553.72018
187500.00000        189827.83416
183300.00000        228913.33818
348900.00000        257293.61738
183600.00000        213547.56975
47100.00000        61395.39899
252300.00000        239019.61885
147900.00000        220450.54936
101900.00000        115481.27823
217100.00000        262347.09108
68500.00000        153722.55481
327300.00000        282169.38948
409100.00000        275162.63401
146200.00000        131935.13890
215800.00000        262309.12900
160800.00000        114037.34172
130600.00000        174016.60095
252200.00000        209492.91333
189600.00000        241507.99644
233100.00000        244690.19995
175000.00000        148071.28317
181800.00000        218665.39935
52300.00000        66439.66234
67200.00000        104916.21751
84700.00000        35671.20485
500001.00000        352359.96221
134400.00000        -914760.91044
117800.00000        149362.80028
112500.00000        113896.53231
163300.00000        168833.65530
90100.00000        95112.91965
75300.00000        55343.84247
103500.00000        152336.01061
106300.00000        102662.55170
60300.00000        40917.28923
48000.00000        47513.94830
500000.00000        229089.79831
281900.00000        290831.93569
361900.00000        329384.95994
150700.00000        139107.12508
263800.00000        247567.94150
288000.00000        304940.27746
53000.00000        29477.68158
169000.00000        168298.51458
400000.00000        261728.36435
500001.00000        353142.34497
500001.00000        419907.86964
86600.00000        117803.27932
139600.00000        160241.07042
150300.00000        200880.37411
150900.00000        145853.07764
500001.00000        238866.41081
269700.00000        253059.73270
82500.00000        -5876.86371
197900.00000        243655.40584
220500.00000        227774.28146
150000.00000        201431.72549
243800.00000        263445.70030
196200.00000        235759.08401
276600.00000        294020.88005
131000.00000        218223.79677
222100.00000        257630.35779
152100.00000        177546.57506
63800.00000        90158.13169
93100.00000        127330.04568
148100.00000        198423.95919
500001.00000        342132.31204
258000.00000        233312.93397
109700.00000        155085.52433
295200.00000        235652.01926
129700.00000        149443.96821
336900.00000        275834.36511
379500.00000        324016.28851
67700.00000        3646.92616
122100.00000        86004.58519
123200.00000        140948.02911
402900.00000        293976.17244
153200.00000        169367.61595
181900.00000        95261.04817
97900.00000        125312.91254
101200.00000        76648.46003
60400.00000        39366.44356
290600.00000        230103.71720
353600.00000        256762.91898
137500.00000        147502.01657
124200.00000        202296.68892
118800.00000        143674.65063
220900.00000        262580.93718
73400.00000        99752.16144
92900.00000        172787.37955
238000.00000        233205.03158
314900.00000        266955.28883
221200.00000        226628.35812
484600.00000        306366.87430
181600.00000        191772.80904
260300.00000        160639.68122
55100.00000        55355.21586
65800.00000        131110.08647
172600.00000        178912.41120
130000.00000        137655.20185
461200.00000        307994.54962
191800.00000        214047.48238
151400.00000        190161.24780
316600.00000        275879.29400
198100.00000        254423.69853
157700.00000        136907.65252
232500.00000        210693.41656
190300.00000        153932.97522
155000.00000        136677.69878
58800.00000        91268.04500
94600.00000        51246.98940
84100.00000        68450.18882
57000.00000        80246.95328
183100.00000        257269.41575
193800.00000        176184.49339
426900.00000        310206.76564
108700.00000        44907.78101
500001.00000        382107.64319
228000.00000        186912.96106
81000.00000        80232.18442
202300.00000        324779.26662
297200.00000        287767.84344
268800.00000        140931.75280
184500.00000        210370.34720
205000.00000        202922.14744
182500.00000        227837.59736
200400.00000        228706.23370
162500.00000        206904.72909
495500.00000        277945.19682
118800.00000        147172.58234
229000.00000        149314.26723
84200.00000        132892.10489
500001.00000        364811.34274
121600.00000        189256.55856
139700.00000        183938.93185
185500.00000        188250.81300
319400.00000        283457.30064
233100.00000        165282.29376
236200.00000        230310.70445
257200.00000        270387.42729
148300.00000        220657.98454
302700.00000        237064.96261
122400.00000        127281.66136
197900.00000        161828.78504
138700.00000        162440.01633
160700.00000        204211.78767
145000.00000        197679.46894
129000.00000        110550.77645
218500.00000        208144.01297
74100.00000        120720.13335
77100.00000        111914.70631
173700.00000        237265.01026
191100.00000        112146.68782
111300.00000        79575.64491
270500.00000        266533.69502
320600.00000        222464.54228
85600.00000        -34487.23414
113700.00000        214655.72799
133900.00000        153663.84755
132800.00000        133222.05070
59700.00000        85605.01212
164100.00000        193904.41147
197300.00000        219140.56362
125800.00000        166602.65514
82300.00000        54387.51100
155000.00000        174826.38884
500001.00000        278341.34011
167000.00000        141122.54138
67500.00000        106168.80671
180600.00000        168692.73248
161700.00000        212566.71247
211300.00000        186303.78525
138100.00000        188493.87753
139300.00000        152785.16196
194100.00000        183327.47492
101300.00000        99878.40834
339100.00000        220122.74431
236400.00000        163087.81520
214600.00000        175097.75616
80600.00000        238831.38025
84000.00000        128888.03264
262500.00000        184895.57747
500001.00000        447195.32211
191700.00000        194355.81229
189500.00000        205193.49979
26900.00000        156499.68140
107200.00000        32227.39519
340000.00000        277060.02916
52500.00000        203595.73822
339400.00000        208461.65695
500001.00000        140029.38794
