SalidaEsperada      SalidaProducida
106300.00000        146104.16050
175700.00000        223593.26616
348700.00000        369909.41867
54600.00000        158642.16459
400000.00000        274687.78739
113500.00000        218205.55716
141900.00000        234925.00442
146000.00000        209430.68351
147800.00000        211571.66181
268200.00000        238933.26275
500001.00000        233682.35990
228100.00000        173951.65776
214400.00000        230989.64828
72700.00000        169812.23996
275000.00000        205449.00081
101600.00000        205923.43483
187500.00000        157703.30305
183300.00000        231190.27945
348900.00000        362900.07431
183600.00000        216163.68747
47100.00000        121831.36402
252300.00000        257511.16886
147900.00000        232957.23574
101900.00000        201478.02766
217100.00000        269951.59541
68500.00000        192043.03161
327300.00000        283265.11569
409100.00000        229209.34843
146200.00000        189354.29289
215800.00000        264797.85939
160800.00000        167278.87581
130600.00000        177108.19020
252200.00000        228113.12675
189600.00000        265988.87143
233100.00000        218457.66824
175000.00000        150310.68910
181800.00000        218668.54670
52300.00000        102383.88349
67200.00000        175153.74303
84700.00000        139497.38261
500001.00000        309929.46589
134400.00000        405368.18321
117800.00000        180556.44969
112500.00000        201086.00363
163300.00000        218423.73123
90100.00000        120970.78843
75300.00000        186553.49432
103500.00000        199053.64504
106300.00000        179991.18881
60300.00000        147234.22724
48000.00000        113203.14513
500000.00000        187226.35335
281900.00000        286783.26929
361900.00000        293696.35700
150700.00000        154661.22224
263800.00000        243901.57012
288000.00000        287539.01593
53000.00000        97722.81059
169000.00000        211695.70979
400000.00000        256227.19321
500001.00000        315011.35695
500001.00000        429127.37920
86600.00000        185790.46920
139600.00000        204294.79073
150300.00000        220556.40088
150900.00000        192752.65215
500001.00000        245040.43038
269700.00000        214498.56454
82500.00000        186750.47521
197900.00000        250532.06873
220500.00000        252687.42192
150000.00000        145218.10566
243800.00000        206146.85007
196200.00000        218999.71685
276600.00000        374254.39885
131000.00000        161394.76607
222100.00000        251952.53348
152100.00000        232378.69760
63800.00000        149264.19283
93100.00000        186132.65502
148100.00000        205537.38639
500001.00000        327228.04378
258000.00000        267747.46070
109700.00000        207112.44344
295200.00000        251552.39376
129700.00000        163001.95838
336900.00000        306893.82433
379500.00000        306877.54077
67700.00000        132809.86623
122100.00000        208623.78563
123200.00000        192100.08733
402900.00000        252869.74049
153200.00000        146965.83385
181900.00000        119127.87319
97900.00000        185894.75510
101200.00000        191955.99232
60400.00000        89628.95269
290600.00000        207409.39583
353600.00000        245313.14278
137500.00000        189954.10270
124200.00000        233565.43869
118800.00000        102117.88524
220900.00000        278430.11160
73400.00000        186612.88075
92900.00000        215284.05947
238000.00000        220076.96108
314900.00000        279349.05454
221200.00000        211034.69475
484600.00000        308592.70804
181600.00000        265910.40468
260300.00000        213304.91549
55100.00000        154334.16872
65800.00000        172127.33954
172600.00000        222499.21964
130000.00000        209899.21699
461200.00000        242164.52576
191800.00000        153595.55740
151400.00000        245399.51152
316600.00000        247944.50361
198100.00000        253216.78654
157700.00000        236842.68606
232500.00000        255416.80925
190300.00000        169089.33311
155000.00000        203135.90054
58800.00000        168567.10672
94600.00000        98629.50607
84100.00000        139032.67019
57000.00000        150138.65837
183100.00000        269567.99066
193800.00000        126049.89435
426900.00000        308111.45721
108700.00000        147583.35279
500001.00000        378067.29523
228000.00000        192720.44924
81000.00000        148813.29167
202300.00000        239867.12915
297200.00000        302852.34927
268800.00000        143144.94655
184500.00000        212757.16367
205000.00000        196107.65751
182500.00000        254958.66996
200400.00000        201089.82856
162500.00000        261530.35528
495500.00000        267355.76185
118800.00000        132343.84600
229000.00000        137144.38762
84200.00000        198910.27557
500001.00000        322342.56202
121600.00000        182504.76645
139700.00000        187771.52714
185500.00000        238119.96661
319400.00000        228250.80990
233100.00000        187814.78746
236200.00000        160514.88683
257200.00000        234710.95346
148300.00000        241090.28300
302700.00000        245532.48398
122400.00000        129935.39529
197900.00000        171092.19452
138700.00000        187369.75283
160700.00000        208268.08542
145000.00000        207116.40919
129000.00000        153217.40751
218500.00000        252217.30806
74100.00000        143145.72276
77100.00000        175182.82909
173700.00000        236818.37248
191100.00000        165580.12337
111300.00000        146234.14749
270500.00000        273313.79387
320600.00000        154600.25337
85600.00000        186240.21128
113700.00000        175062.50842
133900.00000        181157.90681
132800.00000        150259.64666
59700.00000        122391.95641
164100.00000        231948.76498
197300.00000        200396.97651
125800.00000        195128.92714
82300.00000        151681.27934
155000.00000        193873.50645
500001.00000        261027.28839
167000.00000        186605.11825
67500.00000        180213.50415
180600.00000        192984.61657
161700.00000        217370.34291
211300.00000        208146.73710
138100.00000        206664.46797
139300.00000        142406.80648
194100.00000        256874.73406
101300.00000        197162.21055
339100.00000        226167.55022
236400.00000        184795.90639
214600.00000        190285.92458
80600.00000        241890.45848
84000.00000        110264.45278
262500.00000        160626.41131
500001.00000        496331.88314
191700.00000        273628.77261
189500.00000        213835.37070
26900.00000        180185.71422
107200.00000        193350.47906
340000.00000        259695.39537
52500.00000        147574.72341
339400.00000        214347.62129
500001.00000        50692.10762
86900.00000        186237.01400
83200.00000        130681.37069
368900.00000        299786.04965
97000.00000        210012.02231
94200.00000        214870.91692
327800.00000        190668.13283
189300.00000        173399.18418
500001.00000        308420.63136
311300.00000        244185.91103
154500.00000        212246.92776
104800.00000        171074.40651
205100.00000        249656.87856
114100.00000        199452.94787
242900.00000        216957.15211
221500.00000        217067.76686
145800.00000        77885.06879
139400.00000        216556.24171
391200.00000        232754.09179
244100.00000        273102.01543
358600.00000        277352.66700
90200.00000        124543.18436
166600.00000        187100.67765
460400.00000        295259.23495
169300.00000        146858.81737
146200.00000        124897.15728
144100.00000        240774.56455
65700.00000        129248.03602
362500.00000        348758.84200
85900.00000        140548.33566
