SalidaEsperada      SalidaProducida
106300.00000        113182.53374
175700.00000        205434.43530
348700.00000        365079.12298
54600.00000        111725.35911
400000.00000        297432.43851
113500.00000        149686.90266
141900.00000        168986.30821
146000.00000        161001.84720
147800.00000        182607.09034
268200.00000        280765.18592
500001.00000        274956.18408
228100.00000        178117.96670
214400.00000        207782.38017
72700.00000        112932.39596
275000.00000        198729.89158
101600.00000        124614.93135
187500.00000        189743.19701
183300.00000        226774.93746
348900.00000        252452.18145
183600.00000        214205.21567
47100.00000        59968.64347
252300.00000        239739.77411
147900.00000        222149.99997
101900.00000        111985.12078
217100.00000        260481.87490
68500.00000        152920.93571
327300.00000        282369.16162
409100.00000        272815.63542
146200.00000        132027.81313
215800.00000        263573.43180
160800.00000        113304.77059
130600.00000        169084.78658
252200.00000        210017.63520
189600.00000        243089.67768
233100.00000        242250.92525
175000.00000        148601.38424
181800.00000        219305.46051
52300.00000        64414.56438
67200.00000        103569.18149
84700.00000        36809.11135
500001.00000        349847.61618
134400.00000        -934781.13488
117800.00000        145266.97783
112500.00000        112059.47352
163300.00000        169332.43660
90100.00000        94619.43935
75300.00000        51204.00085
103500.00000        152615.90582
106300.00000        96760.25232
60300.00000        36433.78566
48000.00000        45477.45111
500000.00000        228928.20707
281900.00000        291468.20730
361900.00000        329922.84079
150700.00000        138529.36266
263800.00000        248285.26391
288000.00000        302859.88423
53000.00000        26745.26767
169000.00000        168804.96308
400000.00000        263266.67962
500001.00000        354711.72134
500001.00000        422613.62409
86600.00000        114085.27562
139600.00000        160563.82971
150300.00000        201825.65056
150900.00000        146137.40103
500001.00000        239790.41051
269700.00000        248897.95725
82500.00000        -8772.96286
197900.00000        241917.30729
220500.00000        228398.46080
150000.00000        199996.97219
243800.00000        264100.76510
196200.00000        233344.09077
276600.00000        293294.51647
131000.00000        215943.95590
222100.00000        258217.96606
152100.00000        176914.95869
63800.00000        89887.75798
93100.00000        125370.49809
148100.00000        193604.13190
500001.00000        340792.94303
258000.00000        233271.95283
109700.00000        152153.53300
295200.00000        236775.40482
129700.00000        150523.43626
336900.00000        277147.06389
379500.00000        325248.35372
67700.00000        3678.82489
122100.00000        79830.33499
123200.00000        138420.76574
402900.00000        290600.27103
153200.00000        164399.21088
181900.00000        93724.06341
97900.00000        125024.61128
101200.00000        72040.34469
60400.00000        35902.37765
290600.00000        229645.25733
353600.00000        254532.68365
137500.00000        148094.90810
124200.00000        203180.56384
118800.00000        140210.10409
220900.00000        263282.78304
73400.00000        100153.86670
92900.00000        172409.39023
238000.00000        229885.35070
314900.00000        268685.12731
221200.00000        223592.53668
484600.00000        304655.10661
181600.00000        188542.92614
260300.00000        156535.49487
55100.00000        53610.18006
65800.00000        130535.01607
172600.00000        175290.66278
130000.00000        137478.99960
461200.00000        303987.94282
191800.00000        212569.64857
151400.00000        188343.47679
316600.00000        273588.60799
198100.00000        255060.04755
157700.00000        135212.40885
232500.00000        212108.56701
190300.00000        154459.46249
155000.00000        137238.69527
58800.00000        89277.60888
94600.00000        47050.97466
84100.00000        64382.27351
57000.00000        78669.82139
183100.00000        258668.64891
193800.00000        172278.61663
426900.00000        312319.08037
108700.00000        41590.89335
500001.00000        384179.00134
228000.00000        182325.89291
81000.00000        79774.04487
202300.00000        320589.33601
297200.00000        288904.16855
268800.00000        141950.75873
184500.00000        209079.17796
205000.00000        203556.84449
182500.00000        229058.92592
200400.00000        229028.43564
162500.00000        208600.69527
495500.00000        278705.66901
118800.00000        146763.34833
229000.00000        147959.63460
84200.00000        130421.67137
500001.00000        367272.75145
121600.00000        186270.16426
139700.00000        179717.55471
185500.00000        188048.42652
319400.00000        280650.15618
233100.00000        165041.21282
236200.00000        226873.40339
257200.00000        267721.52970
148300.00000        221289.02799
302700.00000        236964.55367
122400.00000        122429.99748
197900.00000        163033.94723
138700.00000        158737.09754
160700.00000        202250.37937
145000.00000        199344.77711
129000.00000        109827.61252
218500.00000        204149.53020
74100.00000        115678.65963
77100.00000        109300.96112
173700.00000        239544.15891
191100.00000        111804.59932
111300.00000        73628.09914
270500.00000        266023.30074
320600.00000        222138.08859
85600.00000        -38175.57315
113700.00000        213355.13608
133900.00000        148281.49489
132800.00000        133465.73650
59700.00000        84538.93461
164100.00000        194617.62482
197300.00000        216661.97182
125800.00000        168031.44702
82300.00000        50215.71438
155000.00000        175296.35813
500001.00000        275516.68121
167000.00000        140738.52200
67500.00000        107421.57021
180600.00000        168715.28354
161700.00000        209388.76273
211300.00000        186124.59168
138100.00000        189773.79875
139300.00000        151595.47166
194100.00000        180886.53429
101300.00000        99397.89525
339100.00000        220705.83060
236400.00000        163808.81873
214600.00000        174812.93219
80600.00000        237077.16195
84000.00000        123422.34088
262500.00000        185343.84500
500001.00000        450303.10718
191700.00000        191776.61492
189500.00000        206019.38867
26900.00000        155315.28070
107200.00000        29867.17901
340000.00000        274752.76188
52500.00000        203848.05555
339400.00000        209112.14561
500001.00000        137010.94616
86900.00000        87779.52089
83200.00000        184229.12892
368900.00000        370815.73003
97000.00000        84877.39993
94200.00000        128058.70141
327800.00000        276261.92290
189300.00000        282357.53532
500001.00000        324002.72748
311300.00000        219301.87942
154500.00000        152560.08247
104800.00000        122820.01285
205100.00000        267362.05155
114100.00000        129288.66728
242900.00000        271989.69014
221500.00000        219281.52654
145800.00000        122447.18896
139400.00000        166574.83225
391200.00000        273577.17602
244100.00000        280826.73825
358600.00000        272815.89166
90200.00000        96135.01740
166600.00000        175005.05850
460400.00000        319810.56937
169300.00000        164294.26693
146200.00000        138895.46263
144100.00000        209375.72125
65700.00000        95595.77524
362500.00000        354131.33884
85900.00000        113710.36239
134300.00000        161708.52874
222300.00000        197124.98076
181100.00000        222944.70649
481300.00000        354223.37799
446600.00000        369544.28537
351800.00000        272168.22241
397000.00000        355635.78400
163000.00000        156162.03882
337500.00000        242851.16792
271700.00000        278386.58821
186100.00000        283220.32866
67500.00000        114506.00411
138700.00000        169921.64968
200000.00000        240999.70264
81800.00000        101542.18782
106600.00000        125829.52229
346700.00000        262679.07100
169400.00000        109779.09149
193900.00000        185232.07397
77700.00000        87113.75198
255500.00000        225736.14809
500001.00000        643247.89928
186200.00000        172185.61380
170800.00000        174059.72200
110700.00000        179793.95739
177200.00000        83232.31677
244400.00000        169550.59499
276000.00000        204492.49639
103800.00000        55939.52318
126600.00000        150330.73291
278400.00000        297459.34082
93800.00000        135137.32112
86400.00000        47085.63070
239900.00000        240427.46956
237900.00000        177718.12479
73000.00000        96319.53820
162500.00000        96116.47344
84600.00000        140631.69834
483300.00000        442980.39479
121400.00000        103583.61079
225800.00000        207560.80565
294900.00000        317593.84991
81300.00000        90113.10774
320000.00000        281934.62775
228500.00000        174135.99918
163000.00000        185403.88474
144500.00000        136701.55200
200600.00000        240700.89347
366200.00000        313968.83278
222700.00000        237055.08172
256700.00000        199494.22465
218800.00000        193240.80288
85600.00000        160356.18202
402900.00000        232113.88260
134300.00000        107089.93818
120300.00000        108037.70251
371900.00000        301218.26986
153100.00000        125017.06276
55100.00000        20957.39410
62800.00000        60786.06519
113800.00000        93372.82674
149000.00000        117911.58320
176200.00000        185557.95095
220500.00000        159367.09319
140600.00000        191637.24373
232700.00000        143649.26376
88200.00000        109363.58962
164400.00000        237796.31912
80700.00000        100146.08538
272000.00000        249472.80483
121000.00000        194525.91556
220900.00000        218730.80431
95600.00000        125374.84166
202300.00000        190840.99597
368500.00000        310712.24461
144300.00000        104758.07023
99200.00000        117276.46194
324600.00000        312311.98136
409700.00000        300731.60509
220800.00000        243393.75175
135200.00000        73912.82154
199800.00000        229946.22566
134200.00000        175076.03654
359600.00000        216458.22927
65600.00000        5176.69519
153700.00000        174512.43332
348100.00000        325584.84758
282100.00000        197436.69205
72100.00000        108216.94331
69900.00000        63152.80668
158600.00000        145207.19564
106900.00000        134313.20636
204600.00000        140531.73704
113700.00000        173264.04511
67500.00000        169701.84574
366100.00000        260225.22311
231000.00000        240693.29128
121900.00000        281371.91352
170400.00000        182898.89222
109700.00000        133856.68527
105200.00000        56956.02454
90500.00000        107867.72220
109000.00000        145311.53300
218200.00000        185652.06092
72100.00000        104205.49437
162000.00000        137163.24912
115800.00000        210415.56510
500001.00000        467477.85316
134500.00000        148337.91841
256800.00000        172035.16734
138200.00000        206664.67562
60000.00000        85181.12001
87500.00000        62873.34731
263200.00000        269208.34988
135500.00000        187550.92103
340000.00000        294509.55684
376900.00000        299557.49437
308500.00000        229484.04378
88600.00000        123397.24967
87500.00000        51864.34702
181300.00000        115734.92606
173200.00000        222367.33196
90500.00000        111300.00681
499100.00000        321307.27585
72500.00000        64040.14096
75000.00000        59835.71360
217200.00000        197030.81072
166700.00000        200966.68338
161300.00000        216917.23368
196700.00000        215657.10579
332100.00000        226085.90289
198000.00000        249522.51572
95100.00000        45696.86657
111700.00000        168406.22275
150500.00000        171004.52694
223900.00000        291663.00521
500001.00000        434709.47308
500001.00000        270457.03259
182700.00000        209794.70842
294700.00000        314026.38935
87000.00000        139672.61652
110200.00000        134841.07817
301700.00000        201355.50137
185700.00000        172682.63347
191100.00000        134292.87513
131300.00000        144437.74265
225400.00000        247445.89284
146400.00000        81567.34053
162100.00000        206549.39157
206500.00000        252703.19984
326700.00000        257660.28712
228600.00000        264896.50794
168800.00000        117845.83325
110400.00000        92849.92318
423200.00000        318834.01348
356100.00000        318185.13476
411300.00000        322771.35445
254800.00000        266100.65310
118600.00000        103078.33229
500000.00000        271383.50868
281700.00000        291283.92912
76200.00000        109224.87573
92600.00000        120412.76707
185300.00000        219631.39246
352700.00000        297630.94206
267100.00000        211906.20352
148900.00000        186559.75177
170200.00000        211494.35617
286800.00000        286945.19633
88700.00000        152703.36427
500001.00000        545140.75370
108300.00000        161120.99476
172600.00000        195068.69746
192200.00000        209410.60117
500001.00000        288811.36483
500001.00000        380019.81137
280200.00000        238128.85091
341400.00000        310896.07484
217700.00000        236805.98038
182800.00000        229977.41590
191400.00000        219498.76634
54100.00000        10067.06077
125000.00000        137402.71960
157100.00000        109568.58626
100000.00000        178129.33121
183900.00000        205191.13065
55900.00000        39809.94470
187500.00000        190988.45517
137500.00000        160036.26363
150600.00000        174459.73158
169900.00000        191073.43339
143700.00000        149154.33339
117600.00000        211345.50083
163700.00000        136438.97217
81900.00000        119111.23846
116700.00000        25396.93883
261100.00000        210997.98650
233300.00000        199641.08707
150300.00000        251245.88928
355600.00000        269573.01283
95600.00000        73630.86540
271600.00000        296340.64490
187500.00000        144507.54892
206300.00000        189412.42117
115600.00000        173719.24650
243100.00000        242256.53645
130700.00000        119077.32076
158000.00000        270451.80707
151800.00000        138488.62730
173800.00000        147757.57881
324900.00000        245678.54943
79200.00000        36502.80201
114800.00000        221621.82060
164500.00000        175452.61766
116700.00000        81022.45504
500001.00000        277241.29355
250000.00000        201158.17204
142800.00000        105214.00266
418400.00000        312774.93528
500001.00000        593558.64774
500001.00000        291841.09026
272200.00000        252505.56627
325000.00000        163902.52561
244600.00000        239687.66817
67500.00000        86694.44816
145200.00000        157867.72148
132400.00000        102389.55119
138500.00000        76557.33289
162500.00000        130869.78479
355800.00000        352441.30380
149800.00000        116058.71983
105800.00000        163845.53775
108000.00000        182764.49697
348200.00000        338585.66763
187200.00000        206567.25576
361700.00000        175771.32004
67500.00000        158119.26213
75000.00000        103981.01027
500001.00000        337505.55887
343800.00000        194862.99759
377200.00000        181055.60344
125000.00000        169871.58854
110700.00000        126014.94058
265200.00000        123832.46781
141100.00000        182477.56520
268100.00000        231045.55347
80400.00000        64878.65243
126200.00000        78854.01016
99600.00000        161434.83037
87500.00000        207379.32238
129300.00000        199234.00422
220600.00000        115719.22660
279900.00000        227581.62151
203700.00000        148216.54245
224100.00000        210552.27026
500001.00000        464034.40680
242300.00000        164101.31724
247700.00000        229241.34463
154300.00000        147754.00650
177300.00000        158380.05534
50700.00000        59566.41129
225000.00000        219134.47683
108900.00000        115619.35570
262500.00000        164595.73063
232400.00000        240959.78418
433300.00000        359537.30399
200000.00000        115100.59158
104000.00000        92036.66079
196700.00000        215131.62387
201600.00000        225418.35685
177400.00000        277931.36112
84400.00000        159031.13539
262400.00000        243407.13355
162500.00000        94654.31733
257200.00000        204935.30356
500001.00000        415283.22021
89400.00000        124739.25620
408300.00000        216119.22622
92600.00000        121457.37088
131100.00000        118261.14889
500001.00000        226038.42582
161400.00000        136352.18235
114600.00000        163264.44240
140200.00000        121715.26841
329100.00000        291522.30607
130200.00000        173270.83692
70800.00000        106621.95957
226400.00000        194005.50897
402300.00000        358002.48509
217100.00000        152915.48447
223000.00000        215253.61751
267800.00000        210823.99695
201700.00000        168627.09759
500001.00000        447542.49980
500001.00000        270311.96286
287500.00000        230153.21776
151800.00000        181316.40787
132000.00000        120704.98499
152800.00000        113552.48446
70100.00000        23716.60604
60400.00000        112946.61384
500001.00000        645680.67578
234600.00000        275072.52737
106700.00000        160075.92416
394000.00000        339697.41697
95200.00000        127602.83777
142200.00000        255824.21496
71300.00000        149246.22339
100900.00000        104875.27235
156800.00000        88343.18093
91600.00000        165885.68988
184600.00000        189424.67067
345700.00000        370975.68745
350900.00000        242815.16414
207200.00000        247970.02427
287800.00000        194785.05449
444400.00000        209902.78681
339400.00000        276650.78450
134300.00000        123336.63011
137500.00000        113207.80187
118000.00000        79473.06153
154700.00000        146425.21481
179400.00000        208450.05120
134800.00000        150886.71813
194200.00000        237523.30251
500001.00000        321889.47553
231900.00000        248697.83202
418800.00000        387736.59208
80900.00000        141534.60447
46900.00000        59041.61196
202100.00000        173172.76929
78300.00000        37923.53585
215000.00000        200878.30945
244800.00000        242865.84283
88800.00000        100721.09565
226200.00000        129198.12329
82300.00000        105222.39309
124500.00000        36367.92677
227600.00000        241315.50347
145300.00000        134083.60440
321800.00000        318450.80740
132000.00000        134796.89828
500001.00000        386451.97977
170600.00000        174899.98395
289600.00000        196566.77814
500001.00000        154766.81056
291100.00000        286433.91398
120800.00000        124101.37665
362500.00000        219905.20385
232000.00000        228516.03660
500001.00000        352338.92717
167000.00000        154183.23432
194400.00000        166117.65756
435200.00000        278370.73345
123000.00000        174351.89986
147300.00000        217075.28975
153800.00000        95844.97505
80400.00000        33047.94736
113600.00000        121443.91579
500001.00000        300123.83409
240800.00000        307232.19700
124300.00000        110454.15719
124200.00000        261950.85249
171300.00000        213922.50590
171600.00000        165066.60635
