SalidaEsperada      SalidaProducida
106300.00000        119179.38178
175700.00000        226746.05031
348700.00000        389568.88341
54600.00000        124515.18928
400000.00000        317751.27328
113500.00000        176392.64668
141900.00000        196396.50530
146000.00000        192681.78399
147800.00000        208773.51662
268200.00000        298725.21361
500001.00000        264261.76216
228100.00000        182397.56441
214400.00000        222069.49951
72700.00000        131137.61352
275000.00000        228258.27034
101600.00000        146079.16169
187500.00000        189422.48321
183300.00000        247649.22682
348900.00000        307079.86545
183600.00000        228553.55933
47100.00000        82000.47889
252300.00000        250010.57826
147900.00000        231251.50564
101900.00000        133756.46417
217100.00000        284744.25437
68500.00000        168604.05488
327300.00000        302289.43200
409100.00000        291731.03511
146200.00000        143323.30987
215800.00000        276306.73903
160800.00000        149116.99071
130600.00000        190310.97031
252200.00000        222289.86248
189600.00000        260420.02563
233100.00000        265465.81907
175000.00000        159546.45452
181800.00000        232809.77765
52300.00000        82721.05068
67200.00000        119985.22757
84700.00000        50611.88625
500001.00000        361084.44331
134400.00000        -256856.29848
117800.00000        175579.21549
112500.00000        125367.72910
163300.00000        196784.49229
90100.00000        115912.45349
75300.00000        75376.70094
103500.00000        165535.98801
106300.00000        132474.98681
60300.00000        55062.91745
48000.00000        64557.83806
500000.00000        226263.27391
281900.00000        304980.04843
361900.00000        345965.47382
150700.00000        157436.90696
263800.00000        262497.56459
288000.00000        320349.63449
53000.00000        49040.27887
169000.00000        195945.74922
400000.00000        271862.45418
500001.00000        358015.96979
500001.00000        440984.46942
86600.00000        127114.78007
139600.00000        170244.64897
150300.00000        217566.54667
150900.00000        172865.98908
500001.00000        245014.67302
269700.00000        267902.09729
82500.00000        6588.45010
197900.00000        266814.62565
220500.00000        251140.52867
150000.00000        203897.23104
243800.00000        258225.23070
196200.00000        254724.19986
276600.00000        313002.33747
131000.00000        206402.51475
222100.00000        276945.02384
152100.00000        217738.20715
63800.00000        104783.65767
93100.00000        144224.81240
148100.00000        205680.57659
500001.00000        365898.42862
258000.00000        258861.23146
109700.00000        173862.17766
295200.00000        250011.23720
129700.00000        165838.37912
336900.00000        295077.39464
379500.00000        341242.35288
67700.00000        41444.81191
122100.00000        125859.66600
123200.00000        161042.71019
402900.00000        309318.21484
153200.00000        178232.61632
181900.00000        117423.30780
97900.00000        163360.62492
101200.00000        94783.88527
60400.00000        54837.43544
290600.00000        234306.36750
353600.00000        279324.18255
137500.00000        168173.06119
124200.00000        221214.33644
118800.00000        146887.55515
220900.00000        277009.67781
73400.00000        118963.60433
92900.00000        186633.40463
238000.00000        264665.16632
314900.00000        285031.28927
221200.00000        245017.86367
484600.00000        335720.40409
181600.00000        203521.53664
260300.00000        211063.04900
55100.00000        79766.21688
65800.00000        143834.91409
172600.00000        229414.59634
130000.00000        181548.16093
461200.00000        314563.55858
191800.00000        219175.46984
151400.00000        204423.95703
316600.00000        279742.68366
198100.00000        276064.76230
157700.00000        198691.97813
232500.00000        228551.05794
190300.00000        166464.83881
155000.00000        167301.45083
58800.00000        107518.15790
94600.00000        75136.99840
84100.00000        87139.87347
57000.00000        96332.24695
183100.00000        272724.33137
193800.00000        183004.40588
426900.00000        319545.88937
108700.00000        52552.59402
500001.00000        399195.34952
228000.00000        211680.48414
81000.00000        95998.75745
202300.00000        329761.17388
297200.00000        304171.40477
268800.00000        147017.44058
184500.00000        206558.02600
205000.00000        211658.26050
182500.00000        248548.73168
200400.00000        232528.76291
162500.00000        225488.89087
495500.00000        288189.34527
118800.00000        142777.95693
229000.00000        163222.71843
84200.00000        151405.31176
500001.00000        363722.50730
121600.00000        208902.87137
139700.00000        203364.25172
185500.00000        208988.29356
319400.00000        303234.36861
233100.00000        178061.53487
236200.00000        233700.20099
257200.00000        266472.68601
148300.00000        243068.73455
302700.00000        273240.71666
122400.00000        155728.59114
197900.00000        170147.50645
138700.00000        171065.95721
160700.00000        236161.93813
145000.00000        208201.95958
129000.00000        136827.92365
218500.00000        270710.93567
74100.00000        137267.23021
77100.00000        126964.02238
173700.00000        247688.26142
191100.00000        147431.36192
111300.00000        95109.11326
270500.00000        289694.12684
320600.00000        228280.68545
85600.00000        -19288.33865
113700.00000        246522.43994
133900.00000        170864.72932
132800.00000        147814.20575
59700.00000        99246.58637
164100.00000        211869.54957
197300.00000        235341.51784
125800.00000        187140.12690
82300.00000        88151.93194
155000.00000        191691.31794
500001.00000        296978.94626
167000.00000        166032.05773
67500.00000        124152.64491
180600.00000        180669.19509
161700.00000        232679.97059
211300.00000        201907.14946
138100.00000        200485.55497
139300.00000        146176.77475
194100.00000        199013.94723
101300.00000        109610.98378
339100.00000        238155.84606
236400.00000        173392.07434
214600.00000        186405.17091
80600.00000        259769.76719
84000.00000        141844.98615
262500.00000        189110.07302
500001.00000        474398.28326
191700.00000        213069.08799
189500.00000        221945.40814
26900.00000        176040.41152
107200.00000        45570.57839
340000.00000        294222.24191
52500.00000        215210.18584
339400.00000        217448.81253
500001.00000        149528.35410
86900.00000        119388.07407
83200.00000        211579.55342
368900.00000        383522.92572
97000.00000        107746.35175
94200.00000        148470.96773
327800.00000        281185.76358
189300.00000        259841.97059
500001.00000        332935.77390
311300.00000        234959.04057
154500.00000        183359.20053
104800.00000        153909.71975
205100.00000        272431.87287
114100.00000        168405.81105
242900.00000        287479.09506
221500.00000        256301.79302
145800.00000        122596.96162
139400.00000        196524.15720
391200.00000        284586.90516
244100.00000        298180.85885
358600.00000        285176.46218
90200.00000        116760.11150
166600.00000        194725.71401
460400.00000        329482.94682
169300.00000        183917.42039
146200.00000        170001.92817
144100.00000        205852.57239
65700.00000        116385.09496
362500.00000        369261.55149
85900.00000        136489.83388
134300.00000        178240.54873
222300.00000        197383.31762
181100.00000        240242.74573
481300.00000        365636.18375
446600.00000        388830.53534
351800.00000        292823.33585
397000.00000        383056.77843
163000.00000        172046.09986
337500.00000        231762.84619
271700.00000        284308.82338
186100.00000        297895.90745
67500.00000        129159.40659
138700.00000        185416.49235
200000.00000        230213.36616
81800.00000        104042.32609
106600.00000        147983.67570
346700.00000        274447.79742
169400.00000        168869.63606
193900.00000        201423.42144
77700.00000        109913.41729
255500.00000        251143.38042
500001.00000        669553.87903
186200.00000        176430.07103
170800.00000        186850.92698
110700.00000        197246.19561
177200.00000        132019.85160
244400.00000        174090.90480
276000.00000        225383.49035
103800.00000        67162.94257
126600.00000        191817.65567
278400.00000        307912.01701
93800.00000        165347.80513
86400.00000        62664.90905
239900.00000        253096.21100
237900.00000        223312.77382
73000.00000        114197.78063
162500.00000        97668.19071
84600.00000        169383.50309
483300.00000        447785.81853
121400.00000        103097.62779
225800.00000        222073.49449
294900.00000        334887.85142
81300.00000        113473.93983
320000.00000        259489.70576
228500.00000        189659.21530
163000.00000        179348.45104
144500.00000        149888.11224
200600.00000        259208.75159
366200.00000        315542.66566
222700.00000        252871.07921
256700.00000        211756.52314
218800.00000        203276.99174
85600.00000        173847.15581
402900.00000        267956.06968
134300.00000        126743.87671
120300.00000        117273.55808
371900.00000        322416.85576
153100.00000        147283.87804
55100.00000        69747.19338
62800.00000        81270.45174
113800.00000        103422.31763
149000.00000        124581.65028
176200.00000        207737.88400
220500.00000        180048.35026
140600.00000        199912.49316
232700.00000        247140.22451
88200.00000        130817.42748
164400.00000        265082.45389
80700.00000        108567.32353
272000.00000        269233.52225
121000.00000        204173.86577
220900.00000        236683.40237
95600.00000        115749.30054
202300.00000        222551.19603
368500.00000        312375.40380
144300.00000        153708.21155
99200.00000        159229.22281
324600.00000        329246.38020
409700.00000        296342.31820
220800.00000        248683.59989
135200.00000        124774.28768
199800.00000        255680.82243
134200.00000        198104.71103
359600.00000        234711.68443
65600.00000        24670.11845
153700.00000        205966.32027
348100.00000        341263.82613
282100.00000        220301.27963
72100.00000        129126.57073
69900.00000        103079.12107
158600.00000        170057.92311
106900.00000        146480.67242
204600.00000        199146.41370
113700.00000        195930.56596
67500.00000        188865.36052
366100.00000        248809.25883
231000.00000        248847.73545
121900.00000        269106.94473
170400.00000        209543.85034
109700.00000        137463.33985
105200.00000        98350.06205
90500.00000        125151.40915
109000.00000        185670.29647
218200.00000        203734.57482
