SalidaEsperada      SalidaProducida
106300.00000        109168.76594
175700.00000        192603.75486
348700.00000        439670.23958
54600.00000        54671.78002
400000.00000        363454.56006
113500.00000        118917.08089
141900.00000        148734.88129
146000.00000        155191.30599
147800.00000        134434.63964
268200.00000        296341.43306
500001.00000        436517.69490
228100.00000        250030.56814
214400.00000        223424.18432
72700.00000        98404.66861
275000.00000        239954.12148
101600.00000        66063.73467
187500.00000        203690.73702
183300.00000        224038.96421
348900.00000        352303.61813
183600.00000        220538.69518
47100.00000        47427.76480
252300.00000        343056.14794
147900.00000        194088.73456
101900.00000        95992.98045
217100.00000        221463.09819
68500.00000        67383.45244
327300.00000        304580.46360
409100.00000        305673.37351
146200.00000        131180.09899
215800.00000        267982.20457
160800.00000        144978.59972
130600.00000        147794.88222
252200.00000        232383.00442
189600.00000        187255.43143
233100.00000        253840.51811
175000.00000        198659.82751
181800.00000        219167.09411
52300.00000        63432.59583
67200.00000        72690.07193
84700.00000        69017.70052
500001.00000        450044.18230
134400.00000        265946.07230
117800.00000        108107.56129
112500.00000        129815.84065
163300.00000        156305.56473
90100.00000        128167.89000
75300.00000        74668.08392
103500.00000        118056.17512
106300.00000        118444.52297
60300.00000        60378.20591
48000.00000        60551.02739
500000.00000        318565.69795
281900.00000        336049.97274
361900.00000        357842.46219
150700.00000        177618.47874
263800.00000        254881.08941
288000.00000        291808.42689
53000.00000        70576.04244
169000.00000        146659.23128
400000.00000        332028.12440
500001.00000        481651.75782
500001.00000        468058.11627
86600.00000        83858.43116
139600.00000        151493.02906
150300.00000        179269.59486
150900.00000        152062.78416
500001.00000        404712.67520
269700.00000        244450.63083
82500.00000        96924.40820
197900.00000        215063.88316
220500.00000        214929.95067
150000.00000        209977.62857
243800.00000        273800.59259
196200.00000        198231.14526
276600.00000        317095.82288
131000.00000        118037.61595
222100.00000        238048.66950
152100.00000        194870.07004
63800.00000        53100.56303
93100.00000        97417.12249
148100.00000        176305.67730
500001.00000        433477.71942
258000.00000        237863.17894
109700.00000        116340.23198
295200.00000        311879.56734
129700.00000        114341.88296
336900.00000        283579.16738
379500.00000        342486.10375
67700.00000        79727.91626
122100.00000        156674.27656
123200.00000        111347.45984
402900.00000        316638.26116
153200.00000        134097.55357
181900.00000        165494.20638
97900.00000        130348.37622
101200.00000        91148.68171
60400.00000        87340.01816
290600.00000        322435.02572
353600.00000        329734.64981
137500.00000        143214.35069
124200.00000        225113.77748
118800.00000        142060.01049
220900.00000        291252.98143
73400.00000        76235.32239
92900.00000        67453.46851
238000.00000        225884.43131
314900.00000        298941.50985
221200.00000        189800.79912
484600.00000        397723.64266
181600.00000        165589.44501
260300.00000        272359.88605
55100.00000        53508.29032
65800.00000        62050.79734
172600.00000        189695.16793
130000.00000        150951.40180
461200.00000        342509.54844
191800.00000        232393.18016
151400.00000        137773.13020
316600.00000        328647.29031
198100.00000        225346.01289
157700.00000        193186.07065
232500.00000        230421.74483
190300.00000        183550.99701
155000.00000        132772.43716
58800.00000        69335.45050
94600.00000        80058.41122
84100.00000        63223.08602
57000.00000        61326.80162
183100.00000        241795.55586
193800.00000        162288.60038
426900.00000        333539.74317
108700.00000        93843.60686
500001.00000        459614.18319
228000.00000        145002.62257
81000.00000        90867.35989
202300.00000        330393.26924
297200.00000        313380.89472
268800.00000        132812.86552
184500.00000        150057.33813
205000.00000        274642.57783
182500.00000        179147.71716
200400.00000        236763.92364
162500.00000        286150.19126
495500.00000        347633.18156
118800.00000        151465.95637
229000.00000        187132.54194
84200.00000        102893.62564
500001.00000        495094.58439
121600.00000        146397.71169
139700.00000        170989.15308
185500.00000        194500.79450
319400.00000        270981.70833
233100.00000        205286.91278
236200.00000        247671.08127
257200.00000        334590.73594
148300.00000        191133.33052
302700.00000        200635.35338
122400.00000        138842.81223
197900.00000        149014.10726
138700.00000        164520.97713
160700.00000        147032.29382
