SalidaEsperada      SalidaProducida
106300.00000        116697.64064
175700.00000        179665.62510
348700.00000        412214.97588
54600.00000        63899.26730
400000.00000        387289.68617
113500.00000        81591.11864
141900.00000        144445.37034
146000.00000        152815.13899
147800.00000        139705.33687
268200.00000        273340.42912
500001.00000        423453.19219
228100.00000        270515.64756
214400.00000        210859.81090
72700.00000        91503.75601
275000.00000        233021.67708
101600.00000        71350.25562
187500.00000        182983.67021
183300.00000        217799.28004
348900.00000        344578.63626
183600.00000        227674.91469
47100.00000        62301.19804
252300.00000        351857.82212
147900.00000        212912.81121
101900.00000        108525.34508
217100.00000        234512.59745
68500.00000        77149.80260
327300.00000        277955.56397
409100.00000        308579.76341
146200.00000        122332.52554
215800.00000        262288.26709
160800.00000        131813.38024
130600.00000        156595.29889
252200.00000        240339.73025
189600.00000        156807.58752
233100.00000        250066.02425
175000.00000        214373.42115
181800.00000        236812.83660
52300.00000        79551.17770
67200.00000        72636.26622
84700.00000        66736.67820
500001.00000        444463.16092
134400.00000        74916.11052
117800.00000        120467.70428
112500.00000        114461.52026
163300.00000        152771.74753
90100.00000        117732.16287
75300.00000        63019.52049
103500.00000        85093.54135
106300.00000        141337.76372
60300.00000        71257.51395
48000.00000        73602.71646
500000.00000        376277.41769
281900.00000        315683.41764
361900.00000        343334.85355
150700.00000        224650.05829
263800.00000        300444.71628
288000.00000        299603.91628
53000.00000        72960.01108
169000.00000        146990.30441
400000.00000        304075.05853
500001.00000        469949.38869
500001.00000        470436.14786
86600.00000        86211.56541
139600.00000        130174.75254
150300.00000        151798.46046
150900.00000        148679.18931
500001.00000        403610.54352
269700.00000        229836.27803
82500.00000        90488.81198
197900.00000        223036.84105
220500.00000        210928.74292
150000.00000        219008.76296
243800.00000        279848.31072
196200.00000        189877.24731
276600.00000        233737.11592
131000.00000        147460.15218
222100.00000        249390.34888
152100.00000        175414.89473
63800.00000        64676.02079
93100.00000        88891.54494
148100.00000        177676.97483
500001.00000        464452.11487
258000.00000        257060.62166
109700.00000        120665.16292
295200.00000        343553.51648
129700.00000        114672.13220
336900.00000        265453.30019
379500.00000        329952.93692
67700.00000        64740.43949
122100.00000        112887.27150
123200.00000        107320.72599
402900.00000        350796.88487
153200.00000        136978.43905
181900.00000        173785.04072
97900.00000        130231.80321
101200.00000        71778.91980
60400.00000        82476.06895
290600.00000        309457.47940
353600.00000        327765.72950
137500.00000        144698.67995
124200.00000        180830.96494
118800.00000        128777.31461
220900.00000        325244.11004
73400.00000        72972.74161
92900.00000        97885.51038
238000.00000        220994.04540
314900.00000        327333.66498
221200.00000        182351.50194
484600.00000        398576.15055
181600.00000        144210.01283
260300.00000        188167.04248
55100.00000        63614.67160
65800.00000        66565.51173
172600.00000        194743.32128
130000.00000        137861.96562
461200.00000        363442.47636
191800.00000        210885.81398
151400.00000        145024.73748
316600.00000        324719.22073
198100.00000        244169.23673
157700.00000        180103.83266
232500.00000        221898.18364
190300.00000        179470.34905
155000.00000        142275.03096
58800.00000        69304.37400
94600.00000        75541.92257
84100.00000        76970.98987
57000.00000        74105.03194
183100.00000        209799.26392
193800.00000        181109.87291
426900.00000        314552.17523
108700.00000        89994.92690
500001.00000        436112.31280
